epoch,step,train_loss_epoch,train_loss_step,val_accuracy,val_loss
0,49,,2.221646308898926,,
0,66,,,0.14607833325862885,2.2306790351867676
0,66,2.2537806034088135,,,
1,99,,2.0476794242858887,,
1,133,,,0.26284995675086975,2.0136256217956543
1,133,2.0883495807647705,,,
2,149,,1.9070909023284912,,
2,199,,1.7857290506362915,,
2,200,,,0.3323717415332794,1.8763737678527832
2,200,1.9340565204620361,,,
